STU_ID,BYS87A,BYS87C,BYS87F,F1S18A,F1S18B,F1S18C,F1S18D,F1S18E
103305,3,4,4,NA,NA,NA,NA,NA
103306,2,3,3,3,2,2,2,2
103307,2,3,3,2,2,2,2,1
103308,NA,NA,NA,3,2,3,4,4
103309,3,3,3,2,2,2,2,2
103310,2,2,3,NA,NA,NA,NA,NA
103312,NA,NA,NA,2,2,2,3,3
103313,4,4,4,NA,NA,NA,NA,NA
103314,2,2,2,3,3,2,3,3
103315,2,3,3,NA,NA,NA,NA,NA
103316,2,2,2,3,2,2,2,3
103317,3,3,2,4,4,4,4,4
103318,3,3,2,3,3,3,4,3
103319,2,3,2,2,2,2,3,2
103320,2,3,3,NA,NA,NA,NA,NA
103321,1,4,2,3,2,2,2,2
103322,3,3,3,2,2,2,2,2
103323,3,3,3,3,3,3,3,3
103324,NA,NA,NA,NA,NA,NA,NA,NA
104101,2,4,3,1,1,2,2,2
104102,NA,NA,NA,NA,NA,NA,NA,NA
104103,2,3,2,NA,NA,NA,NA,NA
104104,4,4,4,NA,NA,NA,NA,NA
104105,1,2,1,3,3,3,3,4
104106,2,2,2,NA,NA,NA,NA,NA
104107,4,4,4,1,1,1,2,1
104108,2,2,1,2,3,3,2,2
104109,NA,NA,NA,NA,NA,NA,NA,NA
104110,2,3,2,1,1,1,1,1
104111,NA,NA,NA,3,3,2,3,3
104112,NA,NA,NA,4,4,2,4,4
104113,NA,NA,NA,NA,NA,NA,NA,NA
104115,2,2,2,3,2,3,NA,3
104116,3,3,4,3,3,3,3,3
104117,2,3,3,2,2,3,3,3
104118,2,3,3,2,2,2,2,2
104119,4,4,4,1,1,1,1,1
104122,3,3,3,3,2,2,3,3
104123,1,4,2,3,3,3,4,3
104124,NA,NA,NA,NA,NA,NA,NA,NA
104201,2,4,2,3,3,4,4,4
104202,2,3,2,3,4,4,4,3
104203,3,4,3,3,3,3,3,2
104204,3,3,3,NA,NA,NA,NA,NA
104205,2,4,2,2,1,1,2,3
104206,NA,NA,NA,1,2,1,1,2
104207,2,3,1,2,3,3,3,4
104208,3,4,3,4,3,3,4,4
104209,2,2,2,3,4,4,4,4
104211,1,2,1,2,2,2,3,3
104212,4,3,3,2,2,2,3,3
104213,2,2,2,NA,NA,NA,NA,NA
104214,2,2,2,NA,NA,NA,NA,NA
104215,3,3,3,NA,NA,NA,NA,NA
104216,2,2,2,3,2,3,4,3
104217,NA,NA,NA,NA,NA,NA,NA,NA
104218,2,3,3,NA,NA,NA,NA,NA
104220,2,3,3,3,2,2,2,2
104222,2,2,2,3,3,3,3,3
104223,2,NA,2,3,3,2,4,4
104224,3,3,3,3,2,3,3,4
104225,2,2,2,NA,NA,NA,NA,NA
104228,NA,NA,NA,NA,NA,NA,NA,NA
104231,1,1,1,4,3,4,4,4
105101,4,3,2,2,2,2,2,2
105102,4,3,3,2,2,3,3,4
105103,3,3,2,4,4,4,4,4
105104,3,4,3,3,3,3,3,3
105105,2,3,3,2,2,2,2,2
105106,4,4,4,1,1,2,2,3
105107,2,2,2,3,3,3,3,3
105108,3,3,3,NA,NA,NA,NA,NA
105109,4,3,2,NA,NA,NA,NA,NA
105110,4,4,3,2,2,1,2,3
105111,2,NA,3,NA,NA,NA,NA,NA
105112,2,3,2,2,2,3,4,3
105113,3,4,4,3,2,2,4,2
105114,2,1,2,4,4,4,4,4
105115,2,3,2,3,3,3,3,3
105116,3,3,3,2,2,2,3,3
105117,3,3,2,2,2,2,3,2
105118,2,2,2,3,3,3,3,3
105119,3,3,3,NA,NA,NA,NA,NA
105120,2,3,3,2,3,2,2,3
105121,3,3,2,3,3,3,4,3
105122,2,2,2,NA,NA,NA,NA,NA
105123,3,2,2,2,2,2,3,3
105124,2,3,3,NA,NA,NA,NA,NA
105125,3,3,2,2,2,2,3,2
105126,2,3,2,2,2,2,2,2
105127,2,2,2,NA,NA,NA,NA,NA
105128,3,3,3,4,4,4,4,4
105129,3,3,3,2,2,2,3,2
105130,2,2,2,NA,NA,2,NA,NA
105132,3,3,2,2,2,1,2,2
105133,2,4,2,2,2,3,3,3
105134,3,3,3,NA,NA,NA,NA,NA
105161,NA,NA,NA,NA,NA,NA,NA,NA
105201,1,2,2,2,2,4,2,2
