STU_ID,BYS87A,BYS87C,BYS87F,F1S18A,F1S18B,F1S18C,F1S18D,F1S18E
160113,2,2,2,NA,NA,NA,NA,NA
160114,2,2,3,NA,NA,NA,NA,NA
160115,1,1,1,NA,NA,NA,NA,NA
160116,2,2,2,NA,NA,NA,NA,NA
160117,2,3,3,NA,NA,NA,NA,NA
160118,2,3,3,NA,NA,NA,NA,NA
160119,2,2,2,NA,NA,NA,NA,NA
160120,3,2,2,NA,NA,NA,NA,NA
160122,2,1,2,NA,NA,NA,NA,NA
160123,1,2,2,NA,NA,NA,NA,NA
160125,4,3,4,NA,NA,NA,NA,NA
160126,2,3,2,NA,NA,NA,NA,NA
160128,2,3,3,NA,NA,NA,NA,NA
160130,3,3,3,NA,NA,NA,NA,NA
160131,3,3,2,NA,NA,NA,NA,NA
160132,3,4,3,NA,NA,NA,NA,NA
160201,4,4,3,2,2,3,3,3
160202,3,4,2,1,1,1,2,1
160203,NA,NA,NA,3,3,3,4,4
160204,2,3,3,NA,NA,NA,NA,NA
160205,3,1,1,2,2,2,2,2
160206,2,2,2,3,3,2,3,3
160207,2,3,3,4,3,3,4,3
160208,2,2,2,3,3,3,3,3
160209,NA,3,2,4,3,3,3,3
160210,3,3,3,2,2,2,2,2
160211,2,3,2,4,3,2,2,4
160212,3,3,3,3,3,3,3,3
160213,3,3,3,NA,NA,NA,NA,NA
160214,4,4,4,NA,NA,NA,NA,NA
160216,2,2,2,4,2,4,3,3
160217,3,4,4,2,2,2,1,2
160218,NA,NA,NA,3,2,4,2,3
160219,NA,NA,NA,NA,NA,NA,NA,NA
160220,2,3,2,3,4,4,4,4
160221,3,2,3,3,2,4,3,4
160224,2,3,2,2,2,2,2,2
160225,3,3,3,2,2,2,2,2
160226,3,3,3,2,2,2,2,2
160227,NA,NA,NA,NA,NA,NA,NA,NA
160228,1,2,1,NA,NA,NA,NA,NA
160229,2,2,2,NA,NA,NA,NA,NA
161101,4,4,4,2,1,2,3,2
161102,2,3,3,NA,NA,NA,NA,NA
161103,2,4,3,4,4,4,4,4
161104,3,3,2,3,2,2,2,2
161105,2,4,3,2,2,3,2,3
161106,3,4,4,1,1,1,2,2
161107,3,3,2,4,4,4,4,4
161108,3,3,2,3,3,3,3,3
161110,2,2,1,3,3,3,3,3
161111,3,4,4,NA,NA,NA,NA,NA
161112,3,3,3,NA,NA,NA,NA,NA
161113,2,4,3,2,2,3,3,3
161114,2,2,2,2,3,3,2,2
161115,4,4,3,NA,NA,NA,NA,NA
161116,3,3,2,3,2,3,3,3
161201,3,4,3,3,1,2,2,1
161203,3,3,NA,3,3,3,4,4
161204,3,3,2,3,3,2,3,3
161205,2,2,2,3,2,2,3,4
161206,3,3,3,2,2,2,2,2
161209,2,3,3,NA,NA,NA,NA,NA
161211,NA,NA,NA,NA,NA,NA,NA,NA
161213,2,3,2,4,4,3,3,4
161214,3,2,2,3,3,3,3,3
161215,2,3,3,2,2,2,2,2
161216,2,2,2,4,3,3,4,3
161217,2,3,2,NA,NA,NA,NA,NA
161218,2,2,3,1,1,1,2,2
162101,3,4,4,2,2,2,2,3
162102,2,3,2,4,3,4,4,4
162103,NA,NA,NA,NA,NA,NA,NA,NA
162104,2,2,2,4,4,4,4,4
162105,2,2,2,3,3,2,4,3
162107,NA,NA,NA,NA,NA,NA,NA,NA
162110,3,2,2,2,2,3,3,2
162111,3,3,3,2,1,2,2,3
162113,3,3,3,3,3,3,3,3
162114,3,4,2,3,2,2,2,2
162115,4,4,4,2,3,3,4,3
162120,2,2,2,3,2,2,2,2
162121,1,1,2,1,1,1,3,3
162201,NA,NA,NA,NA,NA,NA,NA,NA
162202,3,3,3,NA,NA,NA,NA,NA
162203,NA,NA,NA,NA,NA,NA,NA,NA
162205,NA,NA,NA,NA,NA,NA,NA,NA
162206,NA,NA,NA,NA,NA,NA,NA,NA
162207,NA,NA,NA,NA,NA,NA,NA,NA
162208,1,1,1,4,3,3,3,3
162209,3,2,2,NA,NA,NA,NA,NA
162210,3,4,3,NA,NA,NA,NA,NA
162211,2,3,2,2,3,3,4,3
162212,NA,NA,NA,NA,NA,NA,NA,NA
162213,NA,NA,NA,NA,NA,NA,NA,NA
162214,2,2,2,2,2,3,3,3
162215,NA,NA,NA,NA,NA,NA,NA,NA
162216,2,1,1,NA,NA,NA,NA,NA
162217,1,4,4,NA,NA,NA,NA,NA
162218,NA,NA,NA,NA,NA,NA,NA,NA
162219,2,2,2,NA,NA,NA,NA,NA
162221,NA,NA,NA,NA,NA,NA,NA,NA
162222,NA,NA,NA,NA,NA,NA,NA,NA
163101,4,4,4,3,2,4,4,4
163102,NA,NA,NA,NA,NA,NA,NA,NA
163103,NA,NA,NA,4,4,4,4,3
163105,3,2,1,3,3,3,3,3
163106,1,1,1,4,4,4,4,4
163107,2,4,4,3,3,3,3,3
163108,NA,NA,1,NA,NA,NA,NA,NA
163109,4,4,4,2,2,2,3,2
163110,2,2,1,3,3,3,3,3
163111,3,3,3,3,3,3,3,3
163112,NA,NA,NA,NA,NA,NA,NA,NA
163113,NA,NA,NA,3,3,4,3,4
163115,NA,NA,NA,NA,NA,NA,NA,NA
163116,NA,NA,NA,NA,NA,NA,NA,NA
163117,3,3,4,2,1,1,2,1
163118,2,3,3,3,4,4,3,3
163119,3,4,2,1,1,1,2,2
163120,NA,NA,NA,2,2,2,2,1
163121,NA,NA,NA,NA,NA,NA,NA,NA
163123,NA,NA,NA,2,2,2,3,3
163124,2,3,2,3,3,4,4,4
163125,NA,NA,NA,4,4,4,4,4
163126,NA,NA,NA,NA,NA,NA,NA,NA
163127,NA,NA,NA,2,2,3,3,2
163128,3,3,3,2,1,2,3,2
163130,NA,NA,NA,2,2,2,3,2
163131,2,2,2,4,4,4,4,4
163132,NA,NA,NA,NA,NA,NA,NA,NA
163133,NA,NA,NA,2,1,2,2,1
163134,NA,NA,NA,3,2,2,3,3
163201,NA,NA,NA,3,3,3,3,3
163202,3,3,3,NA,NA,NA,NA,NA
163203,4,1,1,2,2,2,2,1
163204,2,2,2,3,3,4,3,2
163205,NA,NA,NA,2,3,3,3,2
163206,NA,NA,NA,NA,NA,NA,NA,NA
163207,NA,NA,NA,4,4,4,4,4
163208,3,3,2,2,3,2,3,2
163209,3,NA,NA,2,2,2,2,2
163210,2,3,3,NA,NA,NA,NA,NA
163211,2,2,2,3,3,3,3,3
163212,2,3,2,2,2,2,2,2
163213,2,1,1,2,3,3,2,3
163214,NA,NA,NA,2,2,2,2,2
163215,1,3,2,2,2,2,2,2
163216,NA,NA,NA,3,2,2,3,2
163217,2,3,3,2,1,3,2,1
163218,NA,NA,NA,3,2,2,3,3
163219,3,3,3,4,4,4,4,4
163220,3,3,3,1,1,1,1,1
163221,1,3,3,2,2,2,3,1
163222,3,3,3,3,3,2,4,4
163223,2,1,1,NA,NA,NA,NA,NA
163224,2,2,2,NA,NA,NA,NA,NA
163225,NA,NA,NA,NA,NA,NA,NA,NA
163226,2,2,2,2,3,2,2,2
163227,3,3,3,NA,NA,NA,NA,NA
163228,2,3,3,3,2,2,3,3
163229,NA,NA,NA,2,2,1,2,3
163230,4,1,1,NA,NA,NA,NA,NA
163232,3,2,3,2,3,3,3,3
163233,4,4,3,NA,NA,NA,NA,NA
163234,3,3,NA,2,2,2,4,4
164102,NA,NA,NA,NA,NA,NA,NA,NA
164103,NA,NA,NA,2,2,1,3,2
164105,2,2,3,4,3,3,4,3
164106,3,3,3,2,2,3,4,3
164109,3,1,1,2,2,2,2,2
164110,NA,NA,NA,NA,NA,NA,NA,NA
164111,3,3,3,2,2,2,2,2
164116,3,3,2,3,2,2,4,4
164117,3,NA,NA,2,3,3,3,3
164118,2,3,3,NA,NA,NA,NA,NA
164119,NA,NA,NA,NA,NA,NA,NA,NA
164120,NA,NA,NA,4,3,3,4,3
164121,NA,NA,NA,NA,NA,NA,NA,NA
164122,NA,NA,NA,2,2,2,2,2
164124,NA,NA,NA,2,1,2,2,2
164125,NA,NA,NA,4,3,2,3,3
164126,3,2,2,3,2,2,2,2
164127,2,2,2,4,4,4,4,4
164129,3,3,2,2,2,2,2,2
164130,NA,NA,NA,4,4,4,3,4
164132,2,2,2,NA,NA,NA,NA,NA
164133,NA,NA,NA,3,2,3,3,2
164201,3,3,2,NA,NA,NA,NA,NA
164202,3,4,3,2,2,2,2,2
164204,3,3,3,2,2,2,3,3
164205,2,2,2,3,3,3,3,3
164207,2,3,3,2,3,3,3,3
164208,3,3,2,2,2,3,3,3
164210,NA,NA,NA,1,2,2,3,2
164211,1,2,3,2,2,2,2,2
164212,2,3,3,NA,NA,NA,NA,NA
164213,2,2,1,3,3,3,4,4
164214,3,3,3,NA,NA,NA,NA,NA
164215,2,3,3,2,2,1,NA,4
164216,3,3,3,2,3,2,4,4
164217,1,3,3,NA,NA,NA,NA,NA
164218,2,2,2,2,3,2,3,2
164219,3,3,3,NA,NA,NA,NA,NA
164220,2,2,2,2,1,1,3,2
164221,3,3,3,1,1,1,1,1
164222,3,3,3,NA,NA,NA,NA,NA
165101,2,3,3,NA,NA,NA,NA,NA
165102,NA,NA,NA,NA,NA,NA,NA,NA
165103,3,4,4,NA,NA,NA,NA,NA
165105,NA,NA,NA,NA,NA,NA,NA,NA
165107,3,3,3,2,2,2,3,3
165108,1,2,2,4,4,4,4,4
165109,3,3,3,NA,NA,NA,NA,NA
165112,2,4,4,NA,NA,NA,NA,NA
165113,2,2,2,2,1,2,2,3
165114,2,3,2,NA,NA,NA,NA,NA
165115,2,2,2,3,3,3,3,3
165116,2,3,2,1,1,1,1,1
165119,2,2,2,NA,NA,NA,NA,NA
165120,4,4,4,2,2,2,3,2
165122,NA,NA,NA,1,2,2,3,2
165123,NA,NA,NA,NA,NA,NA,NA,NA
165124,1,NA,1,3,4,4,4,4
165125,3,3,3,3,2,3,3,3
165126,3,3,3,3,2,2,3,3
165127,3,3,3,NA,NA,NA,NA,NA
165165,NA,NA,NA,NA,NA,NA,NA,NA
165201,3,4,4,NA,NA,NA,NA,NA
165202,2,4,4,2,3,2,4,3
165204,2,3,3,NA,NA,NA,NA,NA
165205,2,2,2,3,2,2,3,4
165206,NA,2,2,NA,NA,NA,NA,NA
165207,4,4,4,2,2,3,3,3
165208,2,3,3,2,2,3,3,3
165209,2,3,2,NA,NA,NA,NA,NA
165210,NA,NA,NA,2,2,1,1,2
165211,2,3,2,3,2,3,2,2
165212,2,1,1,NA,NA,NA,NA,NA
165214,2,4,4,2,2,1,3,3
165215,3,3,3,1,2,2,2,2
165216,1,2,1,2,2,2,3,2
165217,2,2,2,4,3,4,3,4
165218,3,NA,NA,NA,NA,NA,NA,NA
165219,2,2,2,3,2,2,3,3
166101,3,4,2,4,3,4,4,3
166102,2,2,2,NA,NA,NA,NA,NA
166103,1,1,1,4,4,4,4,4
166104,2,3,2,NA,NA,NA,NA,NA
166106,2,3,3,2,2,2,2,2
166108,3,3,3,3,2,3,3,4
166109,3,3,3,2,2,2,3,3
166111,4,4,4,NA,NA,NA,NA,NA
166112,3,3,3,3,2,2,3,2
166114,NA,NA,NA,NA,NA,NA,NA,NA
166115,2,3,3,3,2,3,3,3
166117,2,2,2,3,3,3,4,3
166201,3,3,3,NA,NA,NA,NA,NA
166202,2,3,2,2,2,2,2,2
166203,2,2,2,4,3,4,4,4
166204,2,3,3,4,4,4,3,4
166205,2,NA,2,2,3,3,3,3
166207,2,1,1,2,2,2,2,2
166208,2,3,3,NA,NA,NA,NA,NA
166209,2,2,2,4,3,3,4,4
166211,NA,NA,NA,2,2,3,3,2
166213,NA,NA,NA,4,3,3,4,3
166214,3,3,3,NA,NA,NA,NA,NA
166215,2,2,2,1,1,1,3,2
166216,NA,NA,NA,NA,NA,NA,NA,NA
166217,2,2,2,4,4,4,4,4
166219,3,4,3,NA,NA,NA,NA,NA
166220,3,3,3,2,2,2,2,3
166222,3,3,3,3,2,3,4,3
166223,NA,NA,NA,2,2,2,4,3
166224,2,1,1,NA,NA,NA,NA,NA
166225,NA,NA,NA,4,3,3,4,4
166226,NA,NA,NA,NA,NA,NA,NA,NA
166227,3,2,2,3,3,3,3,3
166230,NA,NA,NA,2,2,4,3,3
166231,NA,NA,NA,3,2,2,3,4
166261,NA,NA,NA,NA,NA,NA,NA,NA
167101,3,3,4,3,2,2,3,2
167102,2,2,2,3,2,2,4,4
167104,3,4,3,2,2,3,3,3
167105,1,3,2,3,3,3,3,3
167106,2,3,3,3,3,3,4,3
167107,NA,NA,NA,4,2,3,4,2
167108,1,1,2,4,4,4,4,4
167109,3,3,2,3,2,2,3,4
167110,NA,NA,NA,NA,NA,NA,NA,NA
167111,3,3,2,4,4,4,4,4
167112,2,2,1,NA,NA,NA,NA,NA
167113,2,2,3,2,2,2,3,3
167115,3,3,3,NA,NA,NA,NA,NA
167116,NA,NA,NA,1,1,2,2,2
167117,4,4,3,2,2,2,3,3
167118,3,3,3,2,2,2,3,3
167119,NA,3,3,NA,NA,NA,NA,NA
167120,3,3,3,3,2,3,3,3
167121,2,4,3,2,3,2,2,2
167122,NA,NA,NA,NA,NA,NA,NA,NA
167123,2,3,3,3,2,2,3,2
167201,3,4,4,1,1,1,1,1
167202,NA,NA,NA,1,1,1,1,1
167203,2,2,2,NA,NA,NA,NA,NA
167204,4,4,4,2,2,2,2,1
167205,3,3,3,NA,NA,NA,NA,NA
167206,3,4,4,2,1,2,1,1
167207,2,2,3,2,2,1,2,2
167208,NA,NA,NA,2,2,2,4,3
167209,3,4,2,NA,NA,NA,NA,NA
167211,NA,NA,NA,2,3,3,3,3
167212,3,2,2,2,2,2,2,2
167213,3,3,3,2,2,1,3,2
167214,2,3,2,NA,NA,NA,NA,NA
167215,3,3,3,1,1,2,2,1
167216,NA,NA,NA,NA,NA,NA,NA,NA
167217,3,3,2,NA,NA,NA,NA,NA
167218,2,3,2,3,2,2,3,2
167219,3,3,2,4,2,2,3,3
167220,3,3,3,2,2,2,2,4
167221,2,2,2,4,3,3,4,4
167222,3,3,3,2,2,2,3,3
167223,NA,NA,NA,NA,NA,NA,NA,NA
167224,NA,NA,NA,2,2,2,3,3
167225,3,4,4,1,1,2,2,2
167226,NA,NA,NA,NA,NA,NA,NA,NA
167227,2,4,1,4,3,3,4,4
167228,3,4,4,2,1,1,1,1
167229,NA,NA,NA,1,1,1,1,1
167230,2,3,2,3,2,2,2,3
167231,2,2,1,4,4,3,3,3
168101,NA,NA,NA,NA,NA,NA,NA,NA
168102,NA,NA,NA,NA,NA,NA,NA,NA
168103,NA,NA,NA,3,2,3,2,2
168104,2,3,3,NA,NA,NA,NA,NA
168105,NA,NA,NA,NA,NA,NA,NA,NA
168106,3,3,4,3,3,4,3,3
168109,3,3,3,1,1,1,3,2
168110,NA,NA,NA,NA,NA,NA,NA,NA
168111,4,2,2,4,3,3,4,4
168112,4,3,3,1,4,4,4,4
168113,4,4,4,2,4,4,3,4
168114,3,3,3,2,2,1,2,2
168115,3,3,3,2,1,1,3,2
168116,4,4,3,NA,NA,NA,NA,NA
168117,3,3,3,3,2,3,4,3
168119,3,2,2,3,3,3,4,4
168120,NA,NA,NA,NA,NA,NA,NA,NA
168121,2,3,3,4,3,4,4,4
168202,2,3,3,NA,NA,NA,NA,NA
168203,3,3,3,NA,NA,NA,NA,NA
168204,2,2,2,2,2,2,1,1
168205,2,3,2,2,1,2,4,3
168208,2,2,2,NA,NA,NA,NA,NA
168209,4,4,4,3,3,3,3,3
168211,2,1,1,NA,NA,NA,NA,NA
168212,2,3,3,4,3,4,4,4
168215,4,4,4,3,3,3,3,3
168216,3,3,2,4,3,3,4,4
168217,3,2,2,2,2,1,2,2
168220,2,2,2,2,2,2,2,2
169101,3,3,3,3,2,3,4,3
169102,2,2,2,1,1,2,3,2
169104,3,3,2,2,2,3,4,4
169105,2,3,2,2,2,3,3,2
169106,3,3,3,4,2,3,3,4
169107,NA,NA,NA,4,3,3,3,4
169108,2,2,2,NA,2,NA,NA,NA
169109,2,2,2,2,2,4,4,3
169110,NA,NA,1,NA,NA,NA,NA,NA
169111,3,4,1,3,3,3,4,4
169112,2,2,2,4,4,4,4,4
169113,3,3,3,3,2,2,2,2
169114,3,2,2,1,1,1,2,4
169116,NA,4,4,3,4,4,3,4
169201,2,4,2,1,1,1,2,2
169202,2,1,1,4,4,3,4,3
169203,NA,NA,NA,1,1,1,2,1
169204,NA,NA,NA,3,2,2,3,3
169205,3,3,3,2,2,2,2,2
169206,2,4,4,2,1,1,2,2
169207,3,3,2,4,3,4,4,4
169208,2,3,2,NA,NA,NA,NA,NA
169209,3,3,3,3,2,2,3,3
169210,2,2,2,2,3,3,3,2
169211,2,3,3,2,2,3,2,3
169212,2,2,2,4,4,3,4,4
169213,2,3,2,4,3,3,4,3
169214,3,3,3,NA,NA,NA,NA,NA
169215,2,2,2,4,3,2,3,4
169216,3,3,3,NA,NA,NA,NA,NA
169217,2,3,2,4,3,2,2,3
169218,3,3,3,1,2,1,3,2
169219,2,3,2,2,2,2,3,2
169221,2,3,2,3,4,4,2,3
169222,NA,NA,NA,2,1,1,3,4
169223,2,4,4,NA,NA,NA,NA,NA
169224,2,2,2,3,2,3,3,4
169225,2,2,2,4,4,4,4,4
169226,NA,NA,NA,2,2,1,2,2
169227,2,4,4,NA,NA,NA,NA,NA
169228,2,2,2,2,1,2,2,2
169229,NA,NA,NA,2,1,2,1,2
169230,3,1,1,3,3,3,3,3
170101,2,2,2,3,3,2,2,4
170102,NA,NA,NA,2,2,2,3,2
170103,3,3,2,3,2,3,4,3
170104,2,2,2,3,3,2,3,4
170105,NA,NA,NA,1,1,1,1,1
170106,2,2,2,NA,NA,NA,NA,NA
170108,NA,NA,NA,3,2,2,3,3
170109,2,3,3,2,2,2,2,3
170110,3,3,3,3,3,2,3,3
170112,NA,NA,NA,2,2,2,2,2
170113,1,3,1,3,3,1,3,3
170114,3,3,1,2,2,2,3,3
170115,NA,NA,NA,NA,NA,NA,NA,NA
170117,NA,NA,NA,NA,NA,NA,NA,NA
170118,2,2,2,4,2,2,3,3
170119,3,3,2,3,2,2,3,NA
170120,NA,NA,NA,3,2,2,3,2
170121,2,3,3,NA,NA,NA,NA,NA
170122,2,2,2,NA,NA,NA,NA,NA
170123,NA,NA,NA,2,2,2,2,2
170124,2,2,1,3,3,3,3,4
170125,3,4,3,2,2,3,3,3
170126,NA,NA,NA,4,2,2,3,4
170201,3,3,NA,4,3,3,4,4
170202,2,3,3,2,2,2,2,2
170203,2,3,3,2,3,3,3,3
170204,3,3,3,2,2,1,2,2
170205,2,3,3,2,2,2,3,3
170206,2,2,3,2,2,2,2,2
170207,2,3,3,2,2,2,3,3
170208,3,3,2,4,3,3,3,3
170210,3,2,2,4,3,3,4,4
170211,NA,NA,NA,NA,NA,NA,NA,NA
170212,2,2,3,3,3,2,3,3
170213,3,2,2,1,1,1,2,2
170214,2,2,1,4,3,3,4,4
170215,3,3,2,NA,NA,NA,NA,NA
170216,3,3,2,2,1,2,2,3
170217,1,NA,NA,2,2,2,3,3
170218,4,4,3,4,4,4,4,4
170220,3,3,3,4,2,2,4,4
170221,3,3,3,2,2,2,2,2
170222,3,4,3,3,2,2,3,2
170223,NA,NA,NA,4,4,3,4,4
170224,2,3,2,3,1,2,3,2
171102,3,3,3,4,4,2,4,4
171103,2,3,2,4,4,4,4,4
171104,3,3,4,1,1,1,2,1
171105,2,3,3,3,3,3,3,3
171106,2,3,2,2,2,2,3,3
171107,2,2,2,3,3,3,3,3
171108,2,2,3,3,3,3,3,3
171109,2,3,3,3,3,3,3,3
171110,NA,NA,3,NA,NA,NA,NA,NA
171111,NA,NA,NA,2,1,1,3,2
171112,2,3,1,NA,NA,NA,NA,NA
171113,NA,NA,3,3,2,2,3,3
171114,NA,NA,NA,NA,NA,NA,NA,NA
171115,NA,NA,NA,3,2,3,4,4
171116,2,2,2,NA,NA,NA,NA,NA
171117,3,3,4,3,2,2,3,4
171118,3,3,2,1,1,1,2,2
171119,2,3,3,2,2,2,2,2
171120,3,3,2,NA,NA,NA,NA,NA
171201,2,3,2,1,1,2,2,2
171202,NA,3,3,1,2,2,2,3
171203,1,2,2,4,4,4,4,4
171204,NA,NA,NA,NA,NA,NA,NA,NA
171205,3,4,1,2,1,1,2,2
171206,2,4,2,2,1,1,2,2
171207,4,4,4,2,1,1,2,3
171208,2,3,2,3,3,3,3,4
171209,3,3,2,2,2,3,3,4
171210,NA,NA,NA,4,4,4,4,4
171211,NA,NA,NA,2,2,2,3,2
171212,3,3,3,3,2,2,3,4
171214,3,3,3,2,2,2,2,3
171216,3,3,3,4,4,4,4,4
171217,3,2,3,2,2,3,2,3
171218,2,1,1,1,3,3,1,3
171219,2,NA,1,2,1,1,3,3
171220,NA,NA,NA,2,2,3,3,4
171221,NA,NA,NA,NA,NA,NA,NA,NA
171222,3,3,3,2,2,2,2,2
172103,3,3,2,3,2,3,3,3
172104,NA,NA,NA,NA,NA,NA,NA,NA
172105,4,4,4,1,1,1,1,1
172106,4,4,4,NA,NA,NA,NA,NA
172107,3,3,3,2,3,1,3,2
172108,2,3,3,NA,NA,NA,NA,NA
172109,1,2,2,2,2,2,3,3
172110,NA,NA,NA,NA,NA,NA,NA,NA
172111,3,4,4,2,2,3,3,2
172112,2,3,3,3,2,2,3,2
172113,3,3,3,NA,NA,NA,NA,NA
172115,3,3,3,2,2,2,3,2
172117,2,3,2,2,2,1,3,1
172118,NA,NA,NA,2,2,3,4,3
172119,1,1,1,NA,NA,NA,NA,NA
172120,2,2,2,4,4,4,4,4
172201,3,3,2,3,4,4,4,3
172204,NA,NA,NA,NA,NA,NA,NA,NA
172205,2,3,3,2,2,2,3,2
172207,3,3,3,3,3,3,3,3
172209,3,4,4,NA,NA,NA,NA,NA
172210,2,2,2,4,2,2,4,3
172211,3,4,4,2,2,2,2,2
172212,NA,NA,NA,3,3,3,3,3
172213,NA,NA,NA,4,4,4,4,4
172214,NA,NA,NA,NA,NA,NA,NA,NA
172215,1,3,3,3,2,3,3,4
172217,NA,NA,NA,NA,NA,NA,NA,NA
172218,NA,NA,NA,2,2,2,3,3
172220,1,1,1,NA,NA,NA,NA,NA
172221,3,4,4,2,2,2,2,2
172222,3,3,2,NA,NA,NA,NA,NA
172223,3,3,2,3,4,4,3,3
173101,NA,NA,NA,NA,NA,NA,NA,NA
173102,3,3,3,2,1,2,3,2
173103,2,2,2,3,3,3,3,3
173104,3,2,3,NA,NA,NA,NA,NA
173105,NA,NA,NA,2,2,2,3,3
173107,2,2,2,NA,NA,NA,NA,NA
173108,NA,NA,NA,NA,NA,NA,NA,NA
173109,NA,NA,NA,2,2,2,2,3
173111,1,2,2,4,4,4,4,4
173114,2,2,3,4,3,4,4,4
173116,3,4,4,2,2,1,2,2
173117,NA,NA,1,NA,NA,NA,NA,NA
173118,3,3,4,NA,NA,NA,NA,NA
173120,2,2,2,4,4,4,4,4
173161,NA,NA,NA,2,2,2,1,2
173201,2,3,1,3,3,3,3,3
173202,2,4,3,2,2,2,2,2
173203,2,3,3,2,2,2,2,2
173204,3,3,2,3,2,2,3,3
173205,2,3,2,3,2,2,3,2
173206,2,3,3,4,4,3,4,4
173207,3,3,2,4,4,4,4,4
173208,NA,NA,NA,3,2,2,3,3
173209,NA,NA,NA,NA,NA,NA,NA,NA
173210,2,3,2,4,4,4,4,4
173211,2,3,2,4,4,3,4,4
173212,3,4,4,3,2,2,3,2
173213,2,2,2,2,3,3,3,2
173214,2,2,2,2,2,2,2,2
173216,1,1,1,NA,NA,NA,NA,NA
173217,3,3,2,4,3,3,4,4
173218,3,3,3,2,2,2,2,2
173219,1,2,3,3,3,3,3,3
173220,2,3,2,3,3,4,4,4
174101,3,4,4,1,1,1,1,1
174103,1,1,1,4,3,4,4,4
174104,1,1,1,2,1,2,3,4
174106,4,4,4,1,2,2,1,2
174107,3,3,2,4,4,4,4,4
174109,2,2,1,4,4,4,4,4
174110,4,1,1,3,3,3,3,3
174111,1,2,1,4,4,4,4,4
174113,NA,NA,NA,1,1,1,1,1
174114,NA,NA,NA,3,3,4,4,3
174116,2,3,3,1,1,2,2,2
174117,3,3,3,2,2,2,3,3
174118,4,4,4,2,2,3,2,3
174119,NA,NA,NA,4,3,4,4,4
174120,2,3,3,3,2,2,3,4
174121,3,3,3,2,2,2,2,2
174122,2,1,1,3,2,3,3,2
174123,3,3,3,1,1,2,2,1
174124,1,1,1,3,2,2,3,2
174125,3,3,2,2,2,2,4,4
174201,NA,NA,NA,2,3,2,2,2
174202,2,2,1,3,2,2,4,3
174203,2,2,2,2,2,2,3,3
174204,3,3,3,2,4,4,2,4
174205,1,1,1,4,3,3,4,4
174206,NA,NA,NA,NA,NA,NA,NA,NA
174207,1,3,2,2,2,2,3,2
174208,3,3,3,3,2,4,3,2
174210,2,2,2,3,2,2,2,3
174211,3,3,3,3,2,2,3,3
174212,2,3,2,2,2,2,3,2
174213,2,4,3,NA,NA,NA,NA,NA
174214,3,4,4,2,2,2,3,2
174215,4,4,2,2,1,1,2,2
174216,NA,NA,NA,NA,NA,NA,NA,NA
174217,4,4,3,2,2,3,3,3
174218,4,4,4,2,1,2,1,1
174219,2,2,2,3,3,3,4,3
174220,2,3,3,2,2,1,2,1
174221,3,3,2,2,2,2,3,2
174222,2,3,3,2,2,2,2,2
174223,1,1,1,4,4,4,4,4
174224,2,2,2,2,1,1,2,2
174225,3,3,3,2,2,2,3,3
174226,3,4,4,1,1,1,2,2
174227,2,2,2,2,1,2,2,2
174228,3,3,3,2,2,2,3,2
174229,3,3,3,2,2,2,3,2
174230,NA,NA,NA,2,1,1,2,2
174231,3,3,2,2,2,2,2,2
174232,4,4,4,NA,NA,NA,NA,NA
174234,4,4,4,1,1,1,1,1
175101,1,3,4,NA,NA,NA,NA,NA
175103,1,3,1,3,3,3,2,2
175105,1,1,1,NA,NA,NA,NA,NA
175111,2,3,3,2,2,2,2,3
175112,4,4,4,NA,NA,NA,NA,NA
175114,3,4,3,1,1,1,1,1
175116,3,3,3,NA,NA,NA,NA,NA
175117,2,3,4,1,1,1,1,1
175118,1,1,1,2,2,2,2,2
175119,4,4,4,1,1,1,1,1
175120,1,1,2,2,3,3,1,2
175121,3,3,3,2,3,1,2,4
175122,1,1,2,NA,NA,NA,NA,NA
175123,2,2,2,3,3,3,3,3
175125,2,2,1,2,1,2,2,2
175201,3,3,3,3,2,2,3,3
175202,3,4,3,2,2,2,3,3
175203,NA,NA,NA,NA,NA,NA,NA,NA
175204,3,4,3,NA,NA,NA,NA,NA
175205,3,3,3,2,2,2,2,2
175206,2,2,3,NA,NA,NA,NA,NA
175207,2,3,2,2,2,2,2,2
175208,NA,NA,NA,3,2,3,4,4
175209,3,2,2,3,3,3,4,4
175211,NA,NA,NA,NA,NA,NA,NA,NA
175213,NA,NA,NA,2,1,1,1,2
175214,3,3,3,2,3,2,3,2
175215,2,3,2,NA,NA,NA,NA,NA
175216,3,2,2,4,3,3,4,4
175217,3,2,3,NA,NA,NA,NA,NA
175218,4,4,4,NA,NA,NA,NA,NA
175219,3,1,1,NA,NA,NA,NA,NA
175220,2,1,1,3,3,3,3,3
175221,NA,NA,NA,4,2,2,4,3
175222,3,3,3,2,1,2,3,3
176101,2,1,1,3,2,3,3,4
176102,3,3,2,2,2,2,3,2
176103,3,3,2,2,1,2,3,3
176104,2,2,2,NA,NA,NA,NA,NA
176105,3,4,4,2,2,2,2,2
176106,NA,NA,NA,NA,NA,NA,NA,NA
176107,2,3,3,3,1,1,3,2
176108,1,4,4,NA,NA,NA,NA,NA
176109,3,4,4,2,1,1,2,2
176110,2,3,2,NA,NA,NA,NA,NA
176111,NA,NA,NA,NA,NA,NA,NA,NA
176112,1,1,1,NA,NA,NA,NA,NA
176113,1,1,1,4,4,4,4,4
176115,3,2,1,3,2,2,3,3
