STU_ID,F2PS1AID,F3TZSTEM1TOT,F3TZSTEM2GPA,CREDGRAD
131119,NA,0,3.75,0
131210,NA,NA,NA,0
131231,1,15,3,0
132110,1,0,2,0
132130,1,17,1.75,0
132203,1,36,3,0
132209,1,9,3.75,0
132211,1,6,2.75,0
132212,1,13,3.25,0
132233,1,11,2.75,0
133105,0,9,1.75,0
133106,1,13,3.5,0
133118,0,33,2.5,0
133201,0,11,3,0
133221,1,4,2.25,0
134105,1,8,2.75,0
134114,1,56,2.5,0
134203,NA,6,4,0
134207,1,7,3.75,0
134208,1,39,2.5,0
134216,NA,3,2.5,0
134218,1,21,3.5,0
134221,1,15,3,0
134227,1,25,4,0
135104,NA,6,2.5,0
135105,1,32,3,0
135109,0,7,2.75,0
135119,NA,25,2.25,0
135120,0,12,0.75,0
135121,0,2,2,0
135126,NA,6,2.25,0
135212,NA,9,3.5,0
135218,1,12,2.75,0
136102,1,4,3.25,0
136110,0,1,3.25,0
136115,1,22,3.75,0
136122,1,2,0.75,0
136124,1,15,3.25,0
136203,1,2,1.25,0
136211,1,10,3.25,0
136216,1,13,3.5,0
136218,1,7,1.25,0
136222,NA,1,3.5,0
136223,NA,6,2,0
137102,1,36,2.5,0
137221,NA,2,4,0
137229,NA,3,4,0
137235,1,4,2.75,0
138103,NA,4,2.75,0
138119,0,24,2.75,0
138127,NA,10,2,0
138202,0,44,1.75,0
138205,1,5,3,0
138216,0,13,3.5,0
138222,NA,2,3.75,0
138226,1,1,3,0
139103,1,3,3.5,0
139104,1,12,3.25,0
139121,1,4,3.5,0
139127,0,9,3,0
139214,NA,0,2.75,0
139218,1,3,3.75,0
140107,0,12,3.25,0
140110,1,8,3.5,0
140116,NA,8,3.5,0
140118,0,21,2.75,0
140124,0,9,2,0
140126,1,4,3.25,0
140202,1,3,3.25,0
140205,0,39,3,0
140206,1,29,2.25,0
140211,1,52,3.75,0
140218,1,3,3.5,0
140221,1,1,3.75,0
141114,0,17,2.25,0
141115,0,10,3.75,0
141205,NA,4,2.5,0
141215,0,7,2.75,0
141217,1,1,4,0
141218,0,18,3,0
141221,1,3,3.5,0
142112,NA,11,2.25,0
142114,0,34,2,0
142208,1,4,3.5,0
142215,1,11,2.75,0
142220,1,1,3,0
142223,0,8,3.25,0
142225,1,8,3.75,0
142231,1,2,3.5,0
143101,1,4,3.5,0
143104,0,38,2.25,0
143106,0,30,2.5,0
143107,0,16,3.25,0
143111,1,40,3.75,0
143114,1,23,3.25,0
143128,1,5,2.75,0
144101,1,4,2.75,0
144102,1,42,2.5,0
144103,0,4,1.5,0
144108,0,3,2.75,0
144115,0,13,3,0
144116,NA,2,0.75,0
144118,0,4,2.75,0
144125,NA,0,3.75,0
144127,0,23,2.75,0
144202,NA,10,3.75,0
144203,1,6,2.75,0
144204,NA,4,2.75,0
144206,1,4,3.5,0
144210,1,1,2.75,0
144213,1,6,3,0
144214,NA,0,3.25,0
144224,1,10,3.25,0
144225,1,9,2.75,0
144231,0,23,3.5,0
144232,0,4,2.5,0
144233,1,0,NA,0
145105,0,23,3.5,0
145106,0,4,2.75,0
145108,1,36,2.25,0
145110,1,14,3.25,0
145112,0,27,2.25,0
145116,0,21,3.25,0
145119,1,6,2,0
145121,NA,4,3,0
145124,NA,0,4,0
146102,1,8,3.25,0
146106,0,44,2.75,0
146113,1,9,3.5,0
146209,1,5,2.75,0
146210,1,14,2.5,0
146218,1,38,2,0
147101,NA,0,4,0
147204,1,25,3.25,0
147205,1,25,3.75,0
147212,1,9,2.5,0
147213,0,27,2.75,0
147217,0,25,2.5,0
148108,NA,22,2.5,0
148111,1,17,3.25,0
148206,NA,38,3.75,0
148210,1,14,3,0
148217,1,33,3.5,0
148223,1,8,2.5,0
149103,1,39,2,0
149221,1,14,3.5,0
149228,1,12,3.25,0
149231,NA,0,2.25,0
150101,1,5,2.75,0
150102,1,17,3.25,0
150107,1,7,3.75,0
150108,1,2,3.25,0
150110,NA,19,2.75,0
150118,1,5,3.75,0
150122,NA,1,4,0
150215,NA,16,3.75,0
150224,1,3,3.75,0
150226,1,10,3,0
151103,1,9,3.75,0
151104,0,7,3.25,0
151113,0,4,3.5,0
151118,1,30,4,0
151121,0,18,3.75,0
151201,1,9,3.25,0
151208,1,4,3.25,0
151211,NA,9,2.5,0
151218,1,12,3.5,0
151222,NA,8,2.5,0
152101,1,26,3.5,0
152104,1,5,3.75,0
152108,1,42,2.75,0
152113,1,2,3.5,0
152124,1,5,3.75,0
152129,0,23,3,0
152161,0,18,2.75,0
152208,1,30,3.75,0
152210,1,42,2.5,0
152213,0,24,3.75,0
152215,1,19,3.75,0
152217,0,11,3.5,0
152222,NA,40,2.5,0
152223,1,35,3.25,0
152226,1,31,2.75,0
153106,1,9,3.5,0
153108,1,52,3,0
153113,1,5,3.5,0
153115,1,46,1.75,0
153122,1,6,3.25,0
153123,1,8,3.25,0
153129,1,6,3.25,0
153208,1,17,3,0
153211,1,10,3.25,0
153214,1,11,3.5,0
153216,0,34,2.25,0
153217,1,10,2.5,0
153218,NA,52,3.75,0
153220,1,17,3.5,0
153222,1,21,3.5,0
154104,1,16,4,0
154109,0,5,3,0
154213,1,5,4,0
154221,1,7,3.5,0
154224,1,24,2.25,0
155105,0,11,3,0
155114,1,44,2.5,0
155214,NA,23,3,0
156101,0,12,3,0
156105,1,13,3,0
156107,1,11,2.25,0
156121,1,12,2.75,0
156201,1,28,3.25,0
156207,0,44,3,0
156211,1,9,3.75,0
156216,1,8,2.5,0
156217,0,3,2.5,0
156223,1,16,1.75,0
156229,NA,2,3.25,0
156230,NA,1,3.5,0
157103,1,17,3,0
157109,0,2,2,0
157110,1,35,2.5,0
157113,1,20,3.5,0
157122,0,32,2.25,0
157123,1,37,2.75,0
157201,1,40,3.5,0
157204,1,17,1.25,0
157207,0,26,3.25,0
157209,1,21,3.5,0
157210,1,31,2.75,0
158133,1,44,3.75,0
158208,1,7,3,0
158212,0,1,3.5,0
158223,1,34,3,0
159110,0,5,3.25,0
159116,0,13,3.25,0
159208,NA,5,3.25,0
159216,1,14,3.5,0
159218,1,10,3.25,0
159223,1,7,2.75,0
159231,0,2,3.25,0
160102,1,8,3.5,0
160118,0,7,2.75,0
160119,0,19,3.5,0
160125,1,11,2.75,0
160201,0,8,3,0
160209,1,30,2,0
160210,1,11,3.25,0
160216,NA,0,3.75,0
161102,1,25,3.75,0
161107,1,3,3.75,0
161116,1,5,3.75,0
161205,1,9,3,0
162102,0,30,4,0
162103,1,25,3.75,0
162104,1,5,3.5,0
162105,1,9,3.25,0
162212,0,16,3.5,0
163107,0,20,4,0
163110,0,10,3.25,0
163111,1,31,3,0
163117,0,13,3.25,0
163120,1,21,2.75,0
163123,NA,0,1.75,0
163124,NA,12,2.5,0
163126,1,28,2.25,0
163127,0,13,2.25,0
163201,1,27,3.75,0
163219,1,29,2.5,0
163221,0,11,3.5,0
163233,1,4,2.75,0
163234,NA,10,2,0
164126,1,22,2.75,0
164133,1,9,2.25,0
164214,NA,3,4,0
165107,1,40,3.25,0
165108,1,3,4,0
165202,0,11,2.5,0
165219,1,7,3.75,0
166101,1,2,4,0
166108,1,7,3.5,0
166117,1,6,2.5,0
166205,1,10,2.75,0
166211,0,15,2.75,0
166230,1,6,3.25,0
166261,1,21,3.25,0
167109,1,26,3.5,0
167110,1,38,2.75,0
167120,1,13,3,0
167209,1,31,3,0
167212,1,3,3.25,0
167217,1,2,3.5,0
167218,1,19,3.25,0
167219,0,9,3.75,0
167224,1,5,3.75,0
167230,1,36,3,0
168101,1,56,4,0
168102,0,8,3,0
168104,0,3,2.25,0
168110,0,21,3.25,0
168115,1,2,3.5,0
168117,1,10,2.75,0
168120,1,15,3,0
168121,0,14,3.25,0
169105,1,2,3,0
169106,0,32,2.25,0
169113,0,19,3.5,0
169116,0,28,3.75,0
169205,NA,0,2,0
169219,1,2,4,0
169224,0,28,3.75,0
169229,1,4,2.25,0
170110,0,6,3.5,0
170124,1,48,3.5,0
170201,1,48,3,0
170216,0,14,3.25,0
170217,1,10,3.5,0
170218,1,11,3.5,0
171106,0,19,2.75,0
171116,NA,0,NA,0
171118,0,9,3,0
171205,1,9,2.75,0
171209,1,21,3.25,0
171217,0,8,2.5,0
171219,0,3,3.25,0
172212,1,21,3.25,0
172221,0,9,3.75,0
173118,0,6,3.5,0
173161,NA,19,3.25,0
173202,1,7,2.5,0
173203,1,56,2.25,0
173207,NA,32,3.75,0
173214,1,11,3.25,0
173217,0,12,3.5,0
174109,0,46,3.25,0
174114,1,13,2.75,0
174116,0,3,3,0
174117,0,4,2,0
174118,1,9,3,0
174119,1,4,3.25,0
174125,1,2,3.5,0
174203,1,11,3.75,0
174205,1,22,3.25,0
174207,1,7,3.5,0
174208,1,14,3.25,0
174211,1,3,4,0
174219,1,7,3.75,0
174222,0,5,3.75,0
174223,1,33,3.25,0
175101,0,10,2.5,0
175118,NA,48,3,0
175119,1,6,3.25,0
175201,1,8,2.25,0
175208,NA,0,3.25,0
175209,0,9,3.5,0
175220,1,11,3.5,0
175221,1,1,2,0
176113,NA,12,3.5,0
176206,0,42,2.75,0
176210,0,9,3,0
176211,1,3,3.75,0
176215,1,27,2.75,0
176218,0,5,3.5,0
176220,1,4,4,0
177105,1,7,3,0
177116,1,24,3.5,0
177202,1,24,3.5,0
177214,1,5,3,0
178102,1,1,3.75,0
178103,0,0,2.5,0
178107,1,16,2.75,0
178124,NA,1,4,0
178218,0,3,2,0
179107,1,10,3.5,0
179118,1,5,3.25,0
179219,1,6,3.25,0
179223,1,11,3.25,0
179228,0,2,3.5,0
179231,1,8,2.75,0
180102,1,10,2.75,0
180103,1,5,3,0
180107,1,44,2.25,0
180121,1,52,3.25,0
180124,0,44,3.25,0
180127,1,2,3,0
181110,1,5,3.5,0
181125,NA,11,3.5,0
181126,1,30,3.25,0
181129,0,0,4,0
181203,0,5,3.5,0
182111,0,10,3,0
182213,1,6,3.5,0
182219,1,3,2.5,0
182226,1,10,3.75,0
183202,1,19,2.5,0
183207,1,18,3,0
183213,1,6,4,0
183217,0,19,3,0
183219,1,44,2.5,0
184101,1,27,2.5,0
184103,1,52,2.75,0
184104,1,26,2.75,0
184107,1,8,3.5,0
184109,1,12,3.75,0
184110,NA,2,3,0
184114,1,5,3.25,0
184115,1,7,3.25,0
184206,1,52,3.75,0
184216,1,11,2.25,0
184219,0,25,3,0
185104,1,32,3.75,0
185105,1,22,3,0
185121,NA,16,2.5,0
185204,1,9,3.25,0
185208,1,7,3,0
185209,1,34,3.5,0
185210,1,17,2.25,0
185224,1,12,3.75,0
186112,1,18,2.75,0
186114,1,14,2.25,0
186117,1,44,2,0
186206,1,40,3,0
186207,1,32,2.25,0
186208,1,1,3.25,0
186212,1,27,3,0
186213,0,14,4,0
186217,1,29,3.5,0
186221,1,26,3.5,0
186227,0,37,2.75,0
186229,1,56,3,0
187110,1,15,2.75,0
187111,0,52,2.5,0
187114,1,39,3.75,0
187122,1,15,2.5,0
