Acc (MSE): 0.8587

   actual: [0.6875, 0.0000] [2.7500, 0.0000]
predicted: [0.8229, 0.1255] [3.2914, 0.1255]

   actual: [0.8125, 1.0000] [3.2500, 1.0000]
predicted: [0.7911, 0.2540] [3.1643, 0.2540]

   actual: [0.4375, 0.0000] [1.7500, 0.0000]
predicted: [0.7616, 0.1535] [3.0462, 0.1535]

   actual: [1.0000, 0.0000] [4.0000, 0.0000]
predicted: [0.7877, 0.2534] [3.1508, 0.2534]

   actual: [0.8125, 0.0000] [3.2500, 0.0000]
predicted: [0.7468, 0.2298] [2.9871, 0.2298]

   actual: [0.8125, 0.0000] [3.2500, 0.0000]
predicted: [0.7964, 0.2665] [3.1856, 0.2665]

   actual: [0.8750, 0.0000] [3.5000, 0.0000]
predicted: [0.7750, 0.1230] [3.1001, 0.1230]

   actual: [0.8125, 0.0000] [3.2500, 0.0000]
predicted: [0.8218, 0.1334] [3.2871, 0.1334]

   actual: [0.7500, 1.0000] [3.0000, 1.0000]
predicted: [0.7755, 0.1333] [3.1022, 0.1333]

   actual: [0.8750, 0.0000] [3.5000, 0.0000]
predicted: [0.8025, 0.2378] [3.2101, 0.2378]

   actual: [0.8750, 1.0000] [3.5000, 1.0000]
predicted: [0.7913, 0.2606] [3.1650, 0.2606]

   actual: [0.8125, 1.0000] [3.2500, 1.0000]
predicted: [0.8141, 0.1569] [3.2565, 0.1569]

   actual: [0.8750, 0.0000] [3.5000, 0.0000]
predicted: [0.7825, 0.2293] [3.1298, 0.2293]

   actual: [0.6250, 0.0000] [2.5000, 0.0000]
predicted: [0.7944, 0.1671] [3.1775, 0.1671]

   actual: [0.8125, 0.0000] [3.2500, 0.0000]
predicted: [0.7612, 0.1172] [3.0449, 0.1172]

   actual: [0.7500, 1.0000] [3.0000, 1.0000]
predicted: [0.7680, 0.2347] [3.0719, 0.2347]

   actual: [0.9375, 0.0000] [3.7500, 0.0000]
predicted: [0.7729, 0.0879] [3.0918, 0.0879]

   actual: [0.9375, 0.0000] [3.7500, 0.0000]
predicted: [0.8268, 0.1086] [3.3071, 0.1086]

   actual: [0.5000, 0.0000] [2.0000, 0.0000]
predicted: [0.7845, 0.1662] [3.1382, 0.1662]

   actual: [0.8125, 0.0000] [3.2500, 0.0000]
predicted: [0.7933, 0.1351] [3.1730, 0.1351]

Avg. error: 0.4236
